GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
addition,com.tdd.example.addition.exception,NegativesNotAllowed,0,4,0,0,0,2,0,1,0,1
addition,com.tdd.example.addition,Calculator,0,107,0,10,0,23,0,9,0,4
